City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,la passe,45.5549,-0.8967,77.23,58,34,9.51,FR,1691521374
164,invercargill,-46.4,168.35,41.02,96,100,1.99,NZ,1691521350
165,cochrane,51.1834,-114.4687,74.91,55,100,6.26,CA,1691521299
166,kisangani,0.5167,25.2,72.25,94,97,1.66,CD,1691521374
167,st. john's,47.5649,-52.7093,62.15,80,100,14.97,CA,1691521375
168,prieska,-29.6641,22.7474,63.9,18,0,5.73,ZA,1691521375
169,mil'kovo,55.6078,37.7956,72.91,76,62,8.19,RU,1691521375
170,ulladulla,-35.35,150.4667,48.09,90,2,4.09,AU,1691521375
171,cuajinicuilapa,16.4667,-98.4167,95.05,47,4,8.03,MX,1691521376
172,basco,20.4487,121.9702,82.76,85,100,24.43,PH,1691521376
173,ocosingo,17.0667,-92.25,86.34,36,0,4.94,MX,1691521376
174,carbonear,47.7332,-53.2148,62.6,78,100,11.5,CA,1691521376
175,luderitz,-26.6481,15.1594,63.5,62,0,17.6,NA,1691521347
176,loughrea,53.1969,-8.5669,60.75,85,97,2.66,IE,1691521076
177,queenstown,-31.8976,26.8753,51.19,76,100,6.2,ZA,1691521376
178,fale old settlement,-9.3852,-171.2468,82.44,71,90,11.68,TK,1691521376
179,franca,-20.5386,-47.4008,84.76,20,0,6.04,BR,1691521376
180,codrington,-38.2667,141.9667,42.6,84,89,11.45,AU,1691521376
181,kijang,35.2442,129.2139,78.53,89,100,20.15,KR,1691521377
182,bojnurd,37.4747,57.329,78.75,44,20,4.61,IR,1691521377
183,saipan,15.1355,145.701,79.65,100,100,7.96,MP,1691521351
184,cortland,42.6001,-76.083,65.68,89,100,8.05,US,1691521377
185,sandnessjoen,66.0217,12.6316,72.12,49,40,12.66,NO,1691521377
186,saint-pierre,-21.3393,55.4781,67.68,77,0,5.75,RE,1691521377
187,sake,-1.5736,29.045,67.05,66,93,1.07,CD,1691521377
188,kuta,-8.7233,115.1723,77.0,88,40,10.36,ID,1691521229
189,adra,36.7496,-3.0206,91.38,76,44,3.91,ES,1691521377
190,chapaev,50.2,51.1667,80.1,37,24,6.67,KZ,1691521378
191,monrovia,6.3005,-10.7969,78.57,88,92,12.1,LR,1691521378
192,salalah,17.0151,54.0924,80.69,89,100,8.05,OM,1691521378
193,pisco,-13.7,-76.2167,69.85,73,0,11.5,PE,1691521357
194,kuala tungkal,-0.8167,103.4667,76.48,90,68,6.51,ID,1691521378
195,port elizabeth,-33.918,25.5701,60.1,94,40,12.66,ZA,1691521230
196,castillos,-34.1667,-53.8333,56.37,60,8,10.31,UY,1691521378
197,college,64.8569,-147.8028,70.2,78,75,1.01,US,1691521378
198,acarau,-2.8856,-40.12,84.61,64,13,20.22,BR,1691521378
199,howard springs,-12.497,131.047,73.31,54,84,7.56,AU,1691521379
200,midvagur,62.0511,-7.1939,47.23,81,75,23.02,FO,1691521284
201,santa terezinha,-29.9002,-50.0904,61.9,66,100,15.14,BR,1691521379
202,knyaze-volkonskoye,48.4642,135.4567,66.54,84,98,5.84,RU,1691521379
203,aykhal,66.0,111.5,58.23,68,17,6.78,RU,1691521380
204,kiffa,16.6166,-11.4045,100.4,18,6,10.47,MR,1691521380
205,minas de marcona,-15.2119,-75.1103,64.85,59,3,14.27,PE,1691521380
206,bathsheba,13.2167,-59.5167,86.61,79,40,11.5,BB,1691521102
207,bel ombre,-4.6167,55.4167,78.64,83,20,6.91,SC,1691521380
208,bac lieu,9.285,105.7244,79.72,85,0,8.66,VN,1691521380
209,port alfred,-33.5906,26.891,58.17,96,89,5.01,ZA,1691521381
210,cockburn town,21.4612,-71.1419,83.89,85,76,18.01,TC,1691521381
211,arkhangel'sk,64.5401,40.5433,60.24,84,5,5.44,RU,1691521381
212,tomatlan,19.9333,-105.25,93.88,55,0,7.87,MX,1691521383
213,altay,47.8667,88.1167,62.56,87,100,2.51,CN,1691521390
214,mount isa,-20.7333,139.5,49.77,76,5,2.3,AU,1691521286
215,walvis bay,-22.9575,14.5053,67.15,55,0,1.14,NA,1691521390
216,kittila,67.6647,24.8936,75.34,73,0,11.5,FI,1691521391
217,moses lake,47.1301,-119.2781,80.89,53,0,6.91,US,1691521361
218,newman,37.3138,-121.0208,91.06,17,0,6.29,US,1691521401
219,smithers,54.7804,-127.1743,64.72,72,75,5.75,CA,1691521401
220,revelstoke,50.9832,-118.2023,64.42,88,75,0.0,CA,1691521401
221,grants,35.1473,-107.8514,84.43,23,0,13.8,US,1691521402
222,upanema,-5.6419,-37.2578,91.08,41,53,16.78,BR,1691521402
223,jessore,23.1687,89.2132,78.39,90,100,6.31,BD,1691521255
224,ekibastuz,51.6667,75.3667,71.73,42,27,7.76,KZ,1691521405
225,monduli,-3.3,36.45,60.58,74,93,7.23,TZ,1691521405
226,sao joao da barra,-21.6403,-41.0511,77.09,74,31,20.49,BR,1691521398
227,tsiombe,-25.3,45.4833,68.67,83,1,11.95,MG,1691521406
228,ebon,4.582,168.6964,80.02,80,100,7.14,MH,1691521406
